street,domain,qid,wikidata_label,sitelinks,km_from_ada_county,same_name_items,other_domains,verdict,notes,pass
West Pine Creek Court,idaho_place,Q7195093,Pine Creek,1,456,1,us_river,y,,1
South Jordan Creek Way,us_river,Q6276469,Jordan Creek,2,131,7,-,y,,1
North Stanley Creek Avenue,us_river,Q28109105,Stanley Creek,2,2314,1,-,q,which state is the river in?,1
South Larkspur Court,plant,Q160107,larkspur,62,,3,-,y,,1
East Whitney Court,fish,Q1985001,Whitney,11,,1,idaho_place,q,ambiguous,1
North Snowbell Road,plant,Q525062,snowbell,31,,2,-,y,,1
South Aurora Drive,roman_deity,Q178831,Aurora,56,,1,-,q,ambiguous,1
West Talbot Street,dog_breed,Q39390,Talbot,11,,1,-,y,,1
South Pegasus Way,constellation,Q8864,Pegasus,91,,1,-,q,"ambiguous, use proximity",1
North Cherry Creek Place,us_river,Q2962773,Cherry Creek,5,1019,2,idaho_place,q,"ambiguous, use proximity",1
North Grey Hawk Avenue,bird,Q10741794,Grey Hawk,18,,1,-,y,,1
South Stanley Street,idaho_place,Q1513555,Stanley,40,135,1,-,y,,1
West Summit Peak Drive,us_mountain,Q7637850,Summit Peak,5,1054,1,-,q,probably invented,1
South Diana Lane,grape_variety,Q112246379,Diana,1,,1,roman_deity,n,ambiguous,1
West Crescent Court,idaho_place,Q19879194,Crescent,3,355,1,-,n,ambiguous,1
West Seneca Drive,us_ethnic_group,Q213422,Seneca,37,,1,grape_variety,y,,1
West Hidden Valley Drive,ski_resort,Q5751994,Hidden Valley,1,,2,-,n,"common, ambiguous",1
West Colton Lane,us_president,Q5531983,General Joseph Colton,3,,1,-,q,try proximity,1
North Big River Place,us_river,Q4906196,Big River,7,766,8,-,n,"ambiguous, possibly invented",1
West Camas Lane,plant,Q4992158,camas,14,,1,-,y,should have also come up as Idaho county,1
North Nemea Avenue,greek_deity,Q1977078,Nemea,9,,1,-,y,,1
East Woodvine Court,plant,Q7396081,woodvine,11,,1,-,y,,1
North Booth Avenue,us_president,Q7241241,President Robert L. Booth,1,,1,-,n,this is a fictional president in Judge Dredd. Either code or Wikidata needs fix,1
North Cedar Avenue,idaho_place,Q117025266,Cedar,0,157,1,plant,n,should be the tree,1
West President Drive,us_president,Q24043569,The President,0,,1,-,n,seems to refer to the office itself. This fictional president definitely shouldn’t show up,1
South Alyeska Lane,ski_resort,Q9147336,Alyeska,6,2913,1,-,n,should refer to the Aleut word for Alaska,1
South Neptune Place,roman_deity,Q3954,Neptune,92,,1,-,n,"should be the planet, use proximity",1
West Gidran Court,horse_breed,Q285445,Gidran,11,,1,-,y,,1
South Henry Street,idaho_place,Q114186102,Henry,0,387,1,-,n,common name,1
South Golden Eagle Lane,bird,Q41181,Golden Eagle,110,,1,-,y,,1
South Hydra Avenue,constellation,Q10578,Hydra,89,,1,-,y,,1
South Barracuda Avenue,fish,Q193921,barracuda,52,,7,-,y,,1
West Taft Street,us_president,Q35648,William Howard Taft,147,,1,-,y,,1
